"","id","Serial.Number","List.Year","Date.Recorded","Address","Assessed.Value","Sale.Amount","Sales.Ratio","Property.Type","Non.Use.Code","Zone.Name","Zone.Classification","Location"
"5453",5453,53333,2005,2006-09-22,"580 KOSSUTH ST",116201,175000,0.664005714,NA,NA,"1776-8","NX2",c(-73.1824043, 41.1863156)
"5454",5454,53334,2005,2006-09-22,"520 SOUNDVIEW AVE",111580,247500,0.450828283,NA,NA,"2778-13G","N2",c(-73.1933338, 41.2180039)
"5455",5455,53335,2005,2006-09-22,"346 DAYTON RD",111440,150000,0.742933333,NA,NA,"2786-3X","N2",c(-73.1827842, 41.2188311)
"5456",5456,53336,2005,2006-09-22,"160 PINE PT DR",168000,374000,0.449197861,NA,NA,"2648-2","N4",c(-73.2036729, 41.2250944)
"5457",5457,53337,2005,2006-09-25,"184 HUNTINGTON TPKE",38273,195000,0.196271795,NA,"7","2860-4","NX2",c(-73.1764528, 41.2119669)
"5458",5458,53339,2005,2006-09-25,"2339 FAIRFIELD AVE",146510,208000,0.704375,NA,NA,"211-12A","RX1",c(-73.22088, 41.16304)
"5459",5459,53340,2005,2006-09-25,"92 WILLIAMSBURG DR",160581,365000,0.439947945,NA,NA,"2647A-17","N4",c(-73.203019, 41.2275837)
"5460",5460,53343,2005,2006-09-25,"179 HEWITT ST",91000,295000,0.308474576,NA,NA,"713-30","NX2",c(-73.1602867, 41.1810446)
"5461",5461,53351,2005,2006-09-27,"132 LEE AVE",115990,185000,0.626972973,NA,NA,"1150-3","RX1",c(-73.2053932, 41.1707099)
"5462",5462,53352,2005,2006-09-27,"335 DEXTER DR",150010,367000,0.408746594,NA,NA,"2643-10","N4",c(-73.207336, 41.2260612)
"5463",5463,53353,2005,2006-09-27,"18 E THORME ST",126701,1e+05,1.26701,NA,"3","2411-22","N1",c(-73.2061854, 41.2091839)
"5464",5464,53354,2005,2006-09-27,"325 LAFAYETTE ST UT 4103",48278,150380,0.321040032,NA,NA,"525-1","RX2",c(-73.1895364, 41.1678578)
"5465",5465,53355,2005,2006-09-25,"175 READ ST",124181,250000,0.496724,NA,NA,"639-10","NX2",c(-73.1581008, 41.1798712)
"5466",5466,53356,2005,2006-09-25,"118 CLIFFORD ST",81060,164146,0.493828665,NA,NA,"620-29","NX2",c(-73.167989, 41.1768293)
"5467",5467,53358,2005,2006-09-26,"80 CARTRIGHT ST",63110,183000,0.344863388,NA,NA,"1301-16C","NX3",c(-73.2189742, 41.1785816)
"5468",5468,53359,2005,2006-09-26,"25 ELLSWORTH ST UT 19",17168,89900,0.190967742,NA,NA,"225-10K","NX2",c(-73.2211786, 41.1545193)
"5469",5469,53360,2005,2006-09-26,"87 HAZELWOOD AVE",104440,110000,0.949454545,NA,"25","1123-26","NX1",c(-73.2088756, 41.1773147)
"5470",5470,53361,2005,2006-09-26,"188 MONROE ST",173811,4e+05,0.4345275,NA,NA,"220-27","NX1",c(-73.2206487, 41.1614313)
"5471",5471,53363,2005,2006-09-26,"740 RUTH ST",128730,305000,0.422065574,NA,NA,"2351-4A","N2",c(-73.2238141, 41.2069736)
"5472",5472,53365,2005,2006-09-27,"1845 CENTRAL AVE",88830,290000,0.306310345,NA,NA,"1813-33","NX2",c(-73.1677272, 41.1923733)
"5473",5473,53366,2005,2006-09-27,"218 CHESTNUT ST",22754,28899,0.787362885,NA,"1","1009-1A","NX2",c(-73.2026157, 41.1847713)
"5474",5474,53370,2005,2006-09-28,"609 GRAND ST",87850,267000,0.329026217,NA,NA,"1018-12A","NX2",c(-73.199611, 41.1871956)
"5475",5475,53374,2005,2006-09-28,"535 PARK ST",127681,335000,0.381137313,NA,NA,"1605-5","NX2",c(-73.1830266, 41.194726)
"5476",5476,53376,2005,2006-09-28,"155 PLATT ST",103460,252000,0.410555556,NA,NA,"2767-25","N2",c(-73.1951493, 41.2164737)
"5477",5477,53377,2005,2006-09-28,"446 CENTER ST",102481,260000,0.394157692,NA,NA,"1005-5","NX2",c(-73.2004782, 41.1875117)
"5478",5478,53378,2005,2006-09-28,"244 SHERIDAN ST",119490,3e+05,0.3983,NA,NA,"1812-7","NX2",c(-73.1692109, 41.1923631)
"5479",5479,53379,2005,2006-09-28,"632 CHOPSEY HL RD",105490,2e+05,0.52745,NA,NA,"2713-1C","N2",c(-73.198568, 41.2105381)
"5480",5480,53382,2005,2006-09-28,"235 RED OAK LN",99908,225000,0.444035556,NA,NA,"2778B-31A","N4",c(-73.1997436, 41.2279651)
"5481",5481,53383,2005,2006-09-29,"1315 NOBLE AVE UT B4",37363,70000,0.533757143,NA,NA,"1668-19K","NX2",c(-73.1842206, 41.1996679)
"5482",5482,53386,2005,2006-09-29,"249 FISKE AVE",105840,190000,0.557052632,NA,NA,"2792B-14","N2",c(-73.1914033, 41.2215503)
"5483",5483,53388,2005,2006-09-29,"136-154 EDGEMOOR RD",197119,377000,0.522862069,NA,"7","2511-83A","N4",c(-73.2234788, 41.2169543)
"5484",5484,53392,2005,2006-09-29,"64 PRINCE ST",84280,205000,0.411121951,NA,NA,"1840-25","NX1",c(-73.1609069, 41.1887879)
"5485",5485,53393,2005,2006-09-29,"333 VINCELLETTE ST 45",87224,207000,0.421371981,NA,NA,"2316-13A","NX3",c(-73.21889, 41.21534)
"5486",5486,53403,2005,2006-09-29,"748 CAPITOL AVE",104581,303000,0.345151815,NA,NA,"2201-15","NX1",c(-73.2043267, 41.1950535)
"5487",5487,57003,2005,2006-05-02,"25 CARTRIGHT ST UT 7D",95607,178724,0.534942145,NA,"25","1301-10","NX3",c(-73.2195922, 41.1782266)
"5488",5488,57983,2005,2006-05-01,"195 LOUISIANA AVE 350D",33205,76000,0.436907895,NA,"25","2036-50A","NX3",c(-73.1754159, 41.2099325)
"5489",5489,57997,2005,2006-05-01,"69 COURT D APT 76",14641200,60000,244.02,NA,"6","1939-54","NX3",c(-73.1577889, 41.1989433)
"5490",5490,57999,2005,2006-05-24,"271 THORME ST",131600,271000,0.485608856,NA,NA,"2271-18","N1",c(-73.2108563, 41.2069419)
"5491",5491,59162,2005,2005-10-18,"3300 PARK AVE 2",155745,270000,0.576833333,NA,"14","2256A-29D","NX4",c(-73.222277, 41.201613)
"5492",5492,59172,2005,2006-01-31,"454 SUCCESS AVE",1379070,90000,15.323,NA,"6","1932-1","NX3",c(-73.15607, 41.19895)
"5493",5493,59191,2005,2006-05-22,"523 GLENDALE AVE",73944,165000,0.448145455,NA,NA,"2387-5A","NX3",c(-73.22128, 41.2111)
"5494",5494,59242,2005,2006-05-26,"627 BISHOP AVE",91280,180000,0.507111111,NA,NA,"1835-34","NX1",c(-73.1575495, 41.1908115)
"5495",5495,59380,2005,2006-03-01,"2600 PARK AVE 6B",64667,110000,0.587881818,NA,NA,"2294-18A","RX2",c(-73.2151344, 41.193932)
"5496",5496,59435,2005,2006-03-07,"455-459 HAWLEY AVE",199500,390000,0.511538462,NA,NA,"2215-45","NX1",c(-73.205115, 41.198924)
"5497",5497,59492,2005,2006-03-14,"58 MENCEL CIR UT D",54102,128000,0.422671875,NA,NA,"2036-50A","NX3",c(-73.1732616, 41.2100963)
"5498",5498,59503,2005,2006-06-19,"50 GREENHOUSE RD UT 42D",103025,210000,0.490595238,NA,NA,"2509G-40A","NX3",c(-73.2220581, 41.2193324)
"5499",5499,59524,2005,2006-03-20,"164 GEORGE ST",165410,237000,0.697932489,NA,NA,"1022-4A","NX2",c(-73.1969166, 41.1870836)
"5500",5500,59597,2005,2005-12-01,"63 LANCE CIR",101578,218000,0.465954128,NA,NA,"2547-13","NX3",c(-73.2332579, 41.2267593)
"5501",5501,59964,2005,2006-08-09,"485 HOWARD AVE",NA,80000,0,NA,"6","1231-1","IX",c(-73.2092141, 41.1684977)
"5502",5502,59991,2005,2006-05-01,"81 INDIAN AVE",105420,242000,0.435619835,NA,NA,"2138-15","N2",c(-73.1934258, 41.2049454)
"5503",5503,59992,2005,2006-05-01,"1066 KOSSUTH ST",252701,6e+05,0.421168333,NA,NA,"1727-4","NX2",c(-73.1818566, 41.1930348)
"5504",5504,59993,2005,2006-05-01,"185 MOFFITT ST",116620,272000,0.42875,NA,NA,"2719-14A","N2",c(-73.1948579, 41.2123995)
"5505",5505,59998,2005,2005-12-22,"49 CHERRY HILL DRIVE",NA,NA,0,NA,"29","2511-9D","NX3",c(-73.2245894, 41.2138006)
"5506",5506,60001,2006,2006-10-02,"243 WEBER AVE",135387,287500,0.470911304,"Single Family",NA,"1931-17","N2",c(-73.1550813, 41.1959709)
"5507",5507,60008,2006,2006-10-02,"115 SUNNYDALE RD",137410,260000,0.5285,"Single Family",NA,"2522-42","N4",c(-73.2238862, 41.2272999)
"5508",5508,60010,2006,2006-10-02,"2612 NORTH AVE UT D11",154909,327000,0.473727829,"Condo",NA,"1301-5K","NX3",c(-73.2200094, 41.1771985)
"5509",5509,60011,2006,2006-10-02,"1184 LINDLEY ST",106820,250000,0.42728,"Single Family",NA,"2407-23X","NX1",c(-73.2021118, 41.2056953)
"5510",5510,60012,2006,2006-10-02,"312 LAKE ST",67760,145000,0.467310345,"Single Family",NA,"2705-10","N2",c(-73.1930865, 41.2084333)
"5511",5511,60013,2006,2006-10-02,"280 ROBIN ST",136010,220000,0.618227273,"Single Family",NA,"2278-14","N2",c(-73.2158959, 41.1976415)
"5512",5512,60014,2006,2006-10-02,"375 GLENDALE AVE UT D10",69353,139050,0.498763035,"Single Family",NA,"2366-1A","NX3",c(-73.2180999, 41.2119506)
"5513",5513,60022,2006,2006-10-03,"1048 PEMBROKE ST",80361,279900,0.287106109,"Two Family",NA,"1755-3","NX2",c(-73.1776038, 41.1885267)
"5514",5514,60023,2006,2006-10-03,"295 SALEM ST",211610,435000,0.48645977,"Two Family",NA,"2208-27","NX1",c(-73.2032626, 41.197791)
"5515",5515,60027,2006,2006-10-03,"175 WHEELER AVE",141330,379457,0.372453269,"Two Family",NA,"1409-24","NX2",c(-73.2014076, 41.1927615)
"5516",5516,60032,2006,2006-10-02,"159 ALSACE ST",6711181,32000,209.7244063,NA,"8","429-10","NX3",c(-73.2008215, 41.1646134)
"5517",5517,60033,2006,2006-10-03,"18 E THORME ST",126701,325000,0.389849231,"Single Family",NA,"2411-22","N1",c(-73.2061854, 41.2091839)
"5518",5518,60037,2006,2006-10-04,"1142 HOWARD AVE",126700,309000,0.410032362,"Three Family",NA,"1209-4","NX2",c(-73.2151838, 41.1755638)
"5519",5519,60038,2006,2006-10-04,"24 CHAMBERLAIN AVE",117460,297000,0.395488215,"Single Family",NA,"2138-8","N2",c(-73.1937951, 41.204733)
"5520",5520,60039,2006,2006-10-04,"1050 CT AVE",3246111,10300,315.1564078,NA,"8","714-23","NX3",c(-73.158847, 41.1827454)
"5521",5521,60040,2006,2006-10-04,"458 EAST AVE",69160,125500,0.551075697,"Single Family",NA,"1848-4B","NX2",c(-73.1581291, 41.1922238)
"5522",5522,60044,2006,2006-10-04,"1176 PARK AVE",156800,424000,0.369811321,"Two Family",NA,"1058-2","NX2",c(-73.2001563, 41.1771849)
"5523",5523,60048,2006,2006-10-04,"245 GLENDALE AVE UT D10",71965,160000,0.44978125,"Condo",NA,"2377-37A","NX3",c(-73.2164093, 41.2128814)
"5524",5524,60052,2006,2006-10-04,"100 WOOD AVE",94640,175000,0.5408,"Single Family",NA,"1133-6C","RX1",c(-73.2030498, 41.1776611)
"5525",5525,60053,2006,2006-10-04,"225 DAYTON RD",135591,3e+05,0.45197,"Single Family",NA,"2785-25","N2",c(-73.1841318, 41.2174893)
"5526",5526,60057,2006,2006-10-05,"390 CHARLES ST UT 106",76717,187450,0.409266471,"Condo",NA,"1406-23K","NX2",c(-73.202707, 41.1937252)
"5527",5527,60058,2006,2006-10-05,"39 DERAMO PL",125370,339000,0.369823009,"Single Family",NA,"2510-66A","N4",c(-73.2258021, 41.2127842)
"5528",5528,60059,2006,2006-10-05,"3012 MADISON AVE UT G",59800,133500,0.447940075,"Condo",NA,"2511-6A","NX3",c(-73.2271636, 41.2152846)
"5529",5529,60060,2006,2006-10-05,"30 STEVENS ST 207",60999,125900,0.484503574,"Condo",NA,"2410-43K","NX3",c(-73.2036156, 41.207922)
"5530",5530,60062,2006,2006-10-05,"128 DEWEY ST",101780,235000,0.433106383,"Two Family",NA,"1222-19","NX2",c(-73.2182909, 41.169192)
"5531",5531,60065,2006,2006-10-05,"576 MERRITT ST",101640,160000,0.63525,"Single Family",NA,"2358-2","N2",c(-73.218882, 41.20734)
"5532",5532,60068,2006,2006-10-05,"3 CARVER ST",52571,183000,0.287273224,"Single Family",NA,"2045-7","NX2",c(-73.1763894, 41.197524)
"5533",5533,60070,2006,2006-10-05,"32 ORDINANCE ST",1263571,37500,33.69522667,NA,"8","729-1","NX3",c(-73.1635391, 41.181681)
"5534",5534,60071,2006,2006-10-06,"200 MOUNTAIN GRV ST",159740,445000,0.358966292,"Three Family",NA,"1217-25","NX2",c(-73.2140403, 41.1703583)
"5535",5535,60073,2006,2006-10-06,"409 GLENDALE AVE",69247,160000,0.43279375,"Condo",NA,"2366-1A","NX3",c(-73.2189922, 41.2118608)
"5536",5536,60074,2006,2006-10-06,"477 FAIRVIEW AVE",106961,278000,0.384751799,"Single Family",NA,"2224-38","NX1",c(-73.208153, 41.201956)
"5537",5537,60077,2006,2006-10-06,"76 N BISHOP AVE",121310,300900,0.403157195,"Three Family",NA,"1921-12","N2",c(-73.1570254, 41.1940674)
"5538",5538,60080,2006,2006-10-06,"192 BEACH ST",14529,360000,0.040358333,"Two Family","7","1758-5","NX2",c(-73.1813446, 41.1885498)
"5539",5539,60084,2006,2006-10-06,"3943 MADISON AVE",144340,129500,1.114594595,"Single Family","7","2561-21C","N4",c(-73.2320683, 41.2247494)
"5540",5540,60088,2006,2006-10-10,"155 PRINCETON ST",124810,268000,0.465708955,"Single Family",NA,"235-37","NX1",c(-73.2275886, 41.1602952)
"5541",5541,60090,2006,2006-10-10,"1179 NOBLE AVE",110880,335000,0.330985075,"Three Family",NA,"1665-13","NX2",c(-73.1838754, 41.1979186)
"5542",5542,60092,2006,2006-10-10,"22 SUMMIT PL",135520,285000,0.475508772,"Single Family",NA,"2761-1","N2",c(-73.1961253, 41.2157078)
"5543",5543,60098,2006,2006-10-11,"44 RIVER ST",840001,1500000,0.560000667,NA,"8","1537-18M","CX",c(-73.1874332, 41.1957595)
"5544",5544,60099,2006,2006-10-11,"44 RIVER ST",840001,5e+05,1.680002,NA,"8","1537-18M","CX",c(-73.1874332, 41.1957595)
"5545",5545,60100,2006,2006-10-11,"231 ORLAND ST",133280,3e+05,0.444266667,"Single Family",NA,"208-33","NX2",c(-73.2234407, 41.1651112)
"5546",5546,60101,2006,2006-10-11,"76 SANFORD AVE",117880,270000,0.436592593,"Three Family",NA,"1049-7","NX2",c(-73.195959, 41.1827445)
"5547",5547,60103,2006,2006-10-11,"55 VINCELLETTE ST",141820,120000,1.181833333,"Single Family","1","2315-3","N4",c(-73.21671, 41.2186)
"5548",5548,60105,2006,2006-10-12,"239 CHERRY HL DR UT 1B",68838,146500,0.469883959,"Condo",NA,"2511-9D","NX3",c(-73.2254732, 41.2137512)
"5549",5549,60106,2006,2006-10-12,"49 CANNON ST",409850,875000,0.4684,NA,NA,"932-11","DX1",c(-73.1901215, 41.1782219)
"5550",5550,60107,2006,2006-10-12,"160 LORRAINE ST",119350,235000,0.50787234,"Single Family",NA,"1421-5","NX1",c(-73.2072119, 41.1849071)
"5551",5551,60108,2006,2006-10-12,"1690 MADISON AVE",158830,405000,0.39217284,"Two Family",NA,"2229-4","N2",c(-73.2140757, 41.2016523)
"5552",5552,60109,2006,2006-10-12,"26 SHORT ST",136431,365000,0.373783562,"Two Family",NA,"229-50","NX1",c(-73.225549, 41.1605279)
"5553",5553,60110,2006,2006-10-12,"48 RUSSO TER",148120,260000,0.569692308,"Single Family",NA,"2254-27","N4",c(-73.2170787, 41.2023442)
"5554",5554,60112,2006,2006-10-12,"798 NORTH AVE",199851,156735,1.275088525,NA,"1","2101-22","RX1",c(-73.1960365, 41.1934652)
"5555",5555,60117,2006,2006-10-13,"66 HALLOCK ST",104440,1e+05,1.0444,"Single Family","3","2614-6","N2",c(-73.2116874, 41.2159722)
"5556",5556,60121,2006,2006-10-13,"923 PEARL HBR ST",67200,204600,0.328445748,"Single Family","1","1940-67","N2",c(-73.1573872, 41.2024375)
"5557",5557,60124,2006,2006-10-13,"308 AMSTERDAM AVE",119421,310000,0.385229032,"Single Family",NA,"2230-1","N2",c(-73.2105293, 41.2027205)
"5558",5558,60128,2006,2006-10-16,"454 SUCCESS AVE",1379070,55000,25.074,NA,"8","1932-1","NX3",c(-73.15607, 41.19895)
"5559",5559,60129,2006,2006-10-16,"480 FRENCHTOWN RD",127680,259700,0.491644205,"Single Family",NA,"2641-14","N4",c(-73.2098518, 41.2232716)
"5560",5560,60132,2006,2006-10-16,"644 RUTH ST",120260,297000,0.404915825,"Single Family",NA,"2380-5","N2",c(-73.2222619, 41.2076124)
"5561",5561,60133,2006,2006-10-16,"223 N BISHOP AVE",101990,249000,0.409598394,"Single Family",NA,"1938-3","N2",c(-73.1568178, 41.1960633)
"5562",5562,60136,2006,2006-10-17,"2298 MAIN ST",455561,950000,0.479537895,NA,NA,"2101-8","MX1",c(-73.19808, 41.1943)
"5563",5563,60141,2006,2006-10-17,"459 WOODLAWN AVE",138810,340000,0.408264706,"Single Family",NA,"2751-13A","N2",c(-73.1999043, 41.2138336)
"5564",5564,60142,2006,2006-10-18,"325 LAFAYETTE ST UT 4110",75934,315000,0.241060317,"Condo",NA,"525-1","RX2",c(-73.1895364, 41.1678578)
"5565",5565,60144,2006,2006-10-18,"265 EDGEMOOR RD UT I",95619,225000,0.424973333,"Condo",NA,"2511-3B","NX3",c(-73.22501, 41.21652)
"5566",5566,60151,2006,2006-10-18,"420 LAKESIDE DR",152670,265000,0.576113208,"Single Family",NA,"2647-8","N4",c(-73.2054288, 41.2256568)
"5567",5567,60152,2006,2006-10-18,"223 LINDLEY ST",100170,330000,0.303545455,"Two Family",NA,"1519-26","CX",c(-73.1916407, 41.1955511)
"5568",5568,60154,2006,2006-10-19,"1373 IRANISTAN AVE",121100,279900,0.432654519,"Two Family",NA,"1121-9","NX1",c(-73.203919, 41.1787515)
"5569",5569,60155,2006,2006-10-19,"1324 E MAIN ST",132650,440000,0.301477273,NA,NA,"1720-5","NX2",c(-73.1802445, 41.192842)
"5570",5570,60157,2006,2006-10-19,"333 VINCELLETTE ST 34",65580,142000,0.461830986,"Single Family",NA,"2316-13A","NX3",c(-73.21889, 41.21534)
"5571",5571,60159,2006,2006-10-20,"343 PARK AVE",109551,340000,0.322208824,"Two Family",NA,"407-13","NX2",c(-73.1929722, 41.1670714)
"5572",5572,60160,2006,2006-10-20,"275 MYRTLE AVE",128590,305000,0.421606557,"Three Family",NA,"533-12","NX2",c(-73.1909911, 41.1668005)
"5573",5573,60162,2006,2006-10-20,"3380 MADISON AVE",71973,189500,0.379804749,"Single Family",NA,"2509D-20K","NX3",c(-73.22568, 41.21976)
"5574",5574,60163,2006,2006-10-20,"107 LOUISIANA AVE",69901,154650,0.451994827,"Condo",NA,"2038-15A","NX3",c(-73.1767971, 41.2097682)
"5575",5575,60166,2006,2006-10-23,"1564 RESERVOIR AVE",31163,150000,0.207753333,NA,"7","2792B-1","N2",c(-73.1931316, 41.2218132)
"5576",5576,60171,2006,2006-10-23,"210 DOBSON ST",150430,305000,0.493213115,"Single Family",NA,"2502-15","N4",c(-73.2289956, 41.2240491)
"5577",5577,60175,2006,2006-10-23,"51 ELM CT",104090,257000,0.405019455,"Single Family",NA,"2414-17","N1",c(-73.2063722, 41.2103423)
"5578",5578,60178,2006,2006-10-24,"131 ROSEWOOD PL",123060,173000,0.71132948,"Single Family",NA,"2846-6","N2",c(-73.1744878, 41.219164)
"5579",5579,60180,2006,2006-10-24,"1625 STRATFORD AVE",94220,360000,0.261722222,"Two Family",NA,"714-13","RX1",c(-73.1595867, 41.1806904)
"5580",5580,60181,2006,2006-10-24,"58C PATRICIA RD",97449,213900,0.455582048,"Condo",NA,"2511-3B","NX3",c(-73.2267722, 41.2165929)
"5581",5581,60183,2006,2006-10-24,"424 GREGORY ST",114590,290000,0.395137931,"Two Family",NA,"404-4","NX2",c(-73.1946382, 41.1668608)
"5582",5582,60186,2006,2006-10-25,"23 BURNHAM ST",6711181,85000,78.95507059,NA,"8","429-10","NX3",c(-73.1982137, 41.1651977)
"5583",5583,60188,2006,2006-10-25,"227 ORLAND ST",109690,260000,0.421884615,"Three Family",NA,"208-32","NX2",c(-73.2232894, 41.1651651)
"5584",5584,60192,2006,2006-10-25,"1083 NOBLE AVE",125511,395000,0.317749367,"Two Family",NA,"1600-3","NX2",c(-73.1839445, 41.1964612)
"5585",5585,60194,2006,2006-10-26,"951C WILLIAM ST",25806,36500,0.707013699,"Condo","15","1666-12","NX3",c(-73.1851718, 41.1970279)
"5586",5586,60195,2006,2006-10-26,"356 HORACE ST",119140,184000,0.6475,"Two Family","18","2049-2","NX1",c(-73.1769366, 41.2028455)
"5587",5587,60198,2006,2006-10-26,"135 AUSTIN ST",103530,320000,0.32353125,"Four Family",NA,"522-18","NX2",c(-73.1926459, 41.1682095)
"5588",5588,60202,2006,2006-10-26,"168 LINWOOD AVE",131390,4e+05,0.328475,"Three Family",NA,"1107-6","NX1",c(-73.2086057, 41.179714)
"5589",5589,60203,2006,2006-10-27,"62 WASHINGTON PL",76440,220000,0.347454545,"Single Family","7","1058-35","NX1",c(-73.1991913, 41.1767403)
"5590",5590,60206,2006,2006-10-27,"2445 PARK AVE UT 10",141735,292000,0.485393836,"Condo",NA,"1366-28K","RX2",c(-73.2151423, 41.1905746)
"5591",5591,60207,2006,2006-10-27,"355 SALEM ST",171640,432000,0.397314815,"Two Family",NA,"2208-33","NX1",c(-73.2042813, 41.1975123)
"5592",5592,60208,2006,2006-10-27,"16 COLE ST UT 91",6711181,76500,87.72785621,NA,"8","429-10","NX3",c(-73.1988683, 41.166071)
"5593",5593,60212,2006,2006-10-27,"350 PEQUONNOCK ST",83300,275000,0.302909091,"Two Family",NA,"1028-8","NX2",c(-73.2010817, 41.1819)
"5594",5594,60214,2006,2006-10-27,"25 ROXBURY LN UT 117",101380,210000,0.482761905,"Condo",NA,"2510-16B","NX3",c(-73.2251588, 41.2125987)
"5595",5595,60215,2006,2006-10-27,"205 SYLVAN ST",114240,210000,0.544,"Single Family",NA,"2785-38","N2",c(-73.1839713, 41.2195686)
"5596",5596,60218,2006,2006-10-30,"390 DOVER ST",44310,144000,0.307708333,"Single Family",NA,"1907-6A","NX2",c(-73.1666607, 41.1985882)
"5597",5597,60220,2006,2006-10-30,"121 LOFTUS CIR",133981,290000,0.462003448,"Single Family",NA,"2515-42","N4",c(-73.2306694, 41.2269351)
"5598",5598,60221,2006,2006-10-30,"3200 PARK AVE UT 3B2",161266,3e+05,0.537553333,"Condo",NA,"2256A-29C","NX4",c(-73.2206265, 41.2010355)
"5599",5599,60224,2006,2006-10-30,"845 RESERVOIR AVE",154318,370000,0.417075676,"Single Family",NA,"2720-12","N2",c(-73.1919312, 41.212131)
"5600",5600,60225,2006,2006-10-30,"29 PRICE ST",69580,158800,0.438161209,"Single Family",NA,"1930-3","NX2",c(-73.1651388, 41.1969363)
"5601",5601,60231,2006,2006-10-30,"221 FAIRVIEW AVE",117039,270000,0.433477778,"Single Family",NA,"2122-25","NX1",c(-73.2036661, 41.2030552)
"5602",5602,60232,2006,2006-10-30,"92 PERSHING AVE",161491,362000,0.446107735,"Two Family",NA,"2736-5B","N2",c(-73.19017, 41.21407)
"5603",5603,60239,2006,2006-10-31,"2810 OLD TOWN RD",152530,362500,0.420772414,"Single Family",NA,"2522-8A","N4",c(-73.2220563, 41.2266473)
"5604",5604,60240,2006,2006-10-31,"57 LEE AVE",80220,245000,0.327428571,"Single Family",NA,"1151-35","NX2",c(-73.2055867, 41.1694568)
"5605",5605,60241,2006,2006-10-31,"153 CHERRY HL DR UT 2A",68838,149900,0.459226151,"Condo",NA,"2511-9D","NX3",c(-73.224501, 41.2144357)
"5606",5606,60242,2006,2006-10-31,"25 ROSEDALE ST",134890,288000,0.468368056,"Two Family",NA,"1032-12","NX1",c(-73.2007301, 41.1792119)
"5607",5607,60244,2006,2006-10-31,"1697 BARNUM AVE",115920,480000,0.2415,NA,NA,"1832-21","MX1",c(-73.1586942, 41.1888625)
"5608",5608,60248,2006,2006-11-01,"31 REMINGTON ST C2",21700,53000,0.409433962,"Condo",NA,"1908-21A","NX2",c(-73.1678187, 41.1939654)
"5609",5609,60249,2006,2006-10-31,"435 HIGH RDG DR",75950,130000,0.584230769,"Single Family",NA,"2294-3B","N2",c(-73.2152189, 41.1955835)
"5610",5610,60250,2006,2006-11-01,"83 ABNER CT",96342,165000,0.583890909,"Single Family",NA,"2511-13E","NX3",c(-73.2237823, 41.2150889)
"5611",5611,60259,2006,2006-11-01,"80 CARTRIGHT ST PHA",74665,280000,0.266660714,"Condo",NA,"1301-16C","NX3",c(-73.2189742, 41.1785816)
"5612",5612,60261,2006,2006-11-01,"111 GREENFIELD DR",122150,250000,0.4886,"Single Family","16","2278-29A","N2",c(-73.2164464, 41.1989961)
"5613",5613,60262,2006,2006-11-01,"165 GREENFIELD DR",106960,225000,0.475377778,"Single Family","16","2278-34","N2",c(-73.2167444, 41.1996976)
"5614",5614,60273,2006,2006-11-02,"490 W JACKSON AVE",140210,245000,0.572285714,"Single Family",NA,"1325-27","N1",c(-73.2127728, 41.189277)
"5615",5615,60277,2006,2006-11-02,"137 GREENFIELD DR",209300,4e+05,0.52325,"Two Family",NA,"2278-30","N2",c(-73.216663, 41.199129)
"5616",5616,60278,2006,2006-11-02,"128 MARTIN TER",101780,233000,0.436824034,"Single Family",NA,"216-10","MX1",c(-73.22202, 41.1625706)
"5617",5617,60279,2006,2006-11-02,"1685 CENTRAL AVE",115500,140000,0.825,"Three Family","14","1811-12A","NX2",c(-73.1677801, 41.1901635)
"5618",5618,60281,2006,2006-11-02,"535 VINCELLETTE ST UT 2",88470,2e+05,0.44235,"Condo",NA,"2387-4K","NX3",c(-73.2210305, 41.2134749)
"5619",5619,60283,2006,2006-11-02,"1391 NORTH AVE",118581,315000,0.376447619,"Two Family",NA,"1007-14","NX2",c(-73.2023149, 41.1869312)
"5620",5620,60284,2006,2006-11-03,"814 PARK AVE",66077,90000,0.734188889,NA,"16","950-23","RX2",c(-73.19633, 41.17293)
"5621",5621,60286,2006,2006-11-03,"75 HIGH RDG DR",115780,173031,0.669128653,"Two Family","14","2296-9","N2",c(-73.2123233, 41.1954714)
"5622",5622,60287,2006,2006-11-03,"65 VOIGHT AVE",117111,265000,0.441928302,"Single Family",NA,"2794A-15A","N2",c(-73.1907209, 41.2214625)
"5623",5623,60291,2006,2006-11-06,"111 CALHOUN PL",114100,249900,0.456582633,"Three Family",NA,"1054-10","NX2",c(-73.1977448, 41.1795851)
"5624",5624,60293,2006,2006-11-06,"354 EARL AVE",16821,90000,0.1869,NA,NA,"2713-4","N2",c(-73.1979133, 41.2104672)
"5625",5625,60296,2006,2007-11-06,"130-132 EDNA AVE",163450,361000,0.452770083,"Two Family",NA,"2009-42","NX1",c(-73.181241, 41.2068789)
"5626",5626,60301,2006,2006-11-06,"325 LAFAYETTE ST",59787,285000,0.209778947,"Condo","7","525-1","RX2",c(-73.1895364, 41.1678578)
"5627",5627,60303,2006,2006-11-07,"980 LINDLEY ST",53422,142500,0.374891228,"Condo",NA,"2125-6K","NX1",c(-73.1998935, 41.2033516)
"5628",5628,60304,2006,2006-11-07,"953 WOOD AVE",138740,350000,0.3964,"Two Family",NA,"1353-9","NX1",c(-73.214048, 41.1843719)
